WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION
40;4000000.0;M;18;almacenista
48;1600000.0;F;13;almacenista
60;1160000.0;M;18;almacenista
48;1300000.0;F;8;almacenista
48;1800000.0;F;9;almacenista
40;1000000.0;M;35;almacenista
50;1500000.0;M;53;almacenista
48;1160000.0;F;13;almacenista
48;1450000.0;F;23;almacenista
48;4000000.0;F;16;almacenista
56;1400000.0;F;22;almacenista
62;1200000.0;F;45;almacenista
48;7200000.0;F;17;almacenista
48;1160000.0;F;38;almacenista
36;450000.0;M;47;almacenista
48;1160000.0;F;41;almacenista
48;1160000.0;M;55;almacenista
48;1350000.0;F;77;almacenista
48;1450000.0;F;8;almacenista
48;1366200.0;F;18;almacenista
48;1520000.0;M;31;almacenista
60;1160000.0;M;42;almacenista
45;4000000.0;F;67;almacenista
48;1300000.0;M;23;almacenista
49;1160000.0;F;25;almacenista
48;1160000.0;F;28;almacenista
48;1000000.0;F;21;almacenista
48;1160000.0;F;68;almacenista
48;1800000.0;F;7;almacenista
48;1160000.0;M;53;almacenista
48;1160000.0;F;56;almacenista
48;1160000.0;M;10;almacenista
48;1300000.0;F;59;almacenista
48;1100000.0;M;29;almacenista
48;1500000.0;F;74;almacenista
48;1300000.0;M;19;almacenista
48;1160000.0;M;11;almacenista
52;1520000.0;F;6;almacenista
48;1160000.0;M;6;almacenista
48;1160000.0;F;30;almacenista
15;300000.0;M;25;almacenista
27;1400000.0;F;18;almacenista
44;1600000.0;M;44;almacenista
48;1160000.0;M;56;almacenista
48;1160000.0;M;14;almacenista
48;1900000.0;M;8;almacenista
48;1160000.0;F;24;almacenista
48;1450000.0;M;61;almacenista
48;1580000.0;M;35;almacenista
48;1160000.0;M;81;almacenista
48;1300000.0;F;21;almacenista
48;1100000.0;M;5;almacenista
48;1300000.0;M;64;almacenista
40;2200000.0;F;63;almacenista
40;1400000.0;M;49;almacenista
48;1160000.0;F;20;almacenista
48;1800000.0;M;18;almacenista
48;1200000.0;F;58;almacenista
48;1160000.0;F;21;almacenista
48;1200000.0;F;46;almacenista
48;2150000.0;M;12;almacenista
16;320000.0;F;12;almacenista
48;1160000.0;M;61;almacenista
66;1450000.0;F;13;almacenista
48;1170000.0;M;17;almacenista
48;1160000.0;M;14;almacenista
48;1800000.0;F;6;almacenista
48;1360000.0;F;11;almacenista
48;1800000.0;F;43;almacenista
48;1160000.0;M;35;almacenista
48;1160000.0;M;17;almacenista
48;1160000.0;M;11;almacenista
48;1160000.0;F;21;almacenista
48;1300000.0;F;16;almacenista
48;1400000.0;M;40;almacenista
48;1160000.0;F;79;almacenista
48;1160000.0;F;30;almacenista
48;1500000.0;F;11;almacenista
48;1160000.0;M;38;almacenista
48;1160000.0;F;78;almacenista
48;1160000.0;M;46;almacenista
62;1500000.0;M;45;almacenista
48;1200000.0;F;67;almacenista
48;1500000.0;F;30;almacenista
40;1200000.0;M;71;almacenista
40;1200000.0;F;72;almacenista
48;1310000.0;F;41;almacenista
48;1160000.0;F;66;almacenista
48;1500000.0;M;42;almacenista
60;1160000.0;F;40;almacenista
50;1160000.0;M;9;almacenista
40;800000.0;M;76;almacenista
40;1920000.0;M;13;almacenista
48;1160000.0;M;9;almacenista
48;1460000.0;F;73;almacenista
48;1300000.0;M;40;almacenista
48;1160000.0;F;8;almacenista
44;1160000.0;F;43;almacenista
48;1160000.0;M;8;almacenista
48;1600000.0;F;38;almacenista
48;1357400.0;M;63;almacenista
48;1126000.0;F;10;almacenista
48;1500000.0;M;57;almacenista
66;1160000.0;M;10;almacenista
48;1160000.0;F;18;almacenista
40;3000000.0;M;55;almacenista
48;1160000.0;F;27;almacenista
48;1160000.0;F;52;almacenista
48;1300000.0;M;27;almacenista
54;1160000.0;M;5;almacenista
48;1300000.0;M;64;almacenista
48;1160000.0;F;53;almacenista
60;1300000.0;F;34;almacenista
48;1160000.0;F;75;almacenista
48;1160000.0;M;33;almacenista
48;1160000.0;M;33;almacenista
48;1200000.0;F;25;almacenista
48;1160000.0;F;35;almacenista
48;1160000.0;M;41;almacenista
48;1160000.0;M;55;almacenista
20;800000.0;F;68;almacenista
40;2450000.0;M;22;almacenista
56;1230000.0;F;52;almacenista
48;1000000.0;F;51;almacenista
48;1160000.0;F;9;almacenista
48;1600000.0;F;56;almacenista
54;1500000.0;M;11;almacenista
48;1540000.0;F;43;almacenista
48;1350000.0;F;31;almacenista
48;800000.0;M;60;almacenista
48;1160000.0;M;58;almacenista
48;2300000.0;F;50;almacenista
40;3900000.0;M;67;almacenista
48;1116000.0;M;57;almacenista
48;1200000.0;F;36;almacenista
48;1260000.0;M;9;almacenista
48;700000.0;M;10;almacenista
46;1300000.0;M;27;almacenista
48;840000.0;M;21;almacenista
48;1160000.0;M;5;almacenista
40;1000000.0;M;52;almacenista
48;1500000.0;F;46;almacenista
40;1450000.0;F;66;almacenista
48;1200000.0;F;55;almacenista
40;1800000.0;M;14;almacenista
48;1200000.0;F;51;almacenista
48;1650000.0;F;58;almacenista
48;1160000.0;F;47;almacenista
48;1160000.0;F;25;almacenista
48;1300000.0;M;27;almacenista
48;3000000.0;M;32;almacenista
48;10000000.0;M;11;almacenista
48;1160000.0;F;9;almacenista
48;1300000.0;M;13;almacenista
48;1300000.0;F;52;almacenista
48;2000000.0;F;57;almacenista
48;1600000.0;M;21;camionero
50;1000000.0;M;33;camionero
48;1000000.0;F;12;camionero
15;500000.0;F;11;camionero
54;1100000.0;M;25;camionero
50;1300000.0;F;17;camionero
45;1160000.0;F;39;camionero
48;1500000.0;M;59;camionero
48;1160000.0;M;27;camionero
60;1000000.0;F;50;camionero
56;2500000.0;F;34;camionero
40;1400000.0;F;36;camionero
60;1500000.0;F;74;camionero
60;2000000.0;F;79;camionero
48;1160000.0;M;46;camionero
15;550000.0;F;11;camionero
60;3000000.0;M;9;camionero
60;1800000.0;M;10;camionero
