MONTHS WORKED;WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION;VALUE OF THE HOUR
12;24;550000.0;F;38;cocinero;5280.3
6;40;500000.0;M;50;cocinero;2880.2
12;42;300000.0;M;9;cocinero;1645.8
3;32;480000.0;M;35;cocinero;3456.2
12;24;100000.0;M;29;cocinero;960.1
12;40;1000000.0;M;12;cocinero;5760.4
5;48;800000.0;F;15;cocinero;3840.2
12;40;800000.0;F;6;cocinero;4608.3
12;45;540000.0;M;34;cocinero;2765.0
7;40;820000.0;M;62;cocinero;4723.5
2;8;70000.0;M;18;cocinero;2016.1
12;36;1000000.0;M;13;cocinero;6400.4
12;36;1000000.0;F;7;cocinero;6400.4
12;42;300000.0;M;53;cocinero;1645.8
12;28;300000.0;M;66;cocinero;2468.7
8;42;250000.0;M;22;cocinero;1371.5
7;45;210000.0;M;48;cocinero;1075.3
12;35;60000.0;M;63;cocinero;395.0
4;16;264000.0;F;15;cocinero;3801.8
12;70;1340000.0;F;22;cocinero;4410.8
12;18;966000.0;F;38;cocinero;12365.6
12;84;1210000.0;M;45;cocinero;3319.1
12;45;700000.0;F;35;cocinero;3584.2
12;48;400000.0;M;36;cocinero;1920.1
11;56;1150000.0;M;38;cocinero;4731.7
12;60;1600000.0;M;59;cocinero;6144.4
12;48;300000.0;M;31;cocinero;1440.1
12;12;800000.0;F;26;cocinero;15361.0
12;45;300000.0;F;31;cocinero;1536.1
10;50;900000.0;F;6;cocinero;4147.5
12;48;1300000.0;F;54;cocinero;6240.4
12;6;96000.0;M;46;cocinero;3686.6
12;42;840000.0;M;29;cocinero;4608.3
12;24;600000.0;F;85;cocinero;5760.4
12;70;450000.0;M;46;cocinero;1481.2
12;48;480000.0;F;26;cocinero;2304.1
12;30;400000.0;F;17;cocinero;3072.2
12;28;20000.0;M;78;cocinero;164.6
12;40;800000.0;F;6;cocinero;4608.3
12;20;200000.0;M;31;cocinero;2304.1
12;56;700000.0;M;20;cocinero;2880.2
4;54;1000000.0;F;48;cocinero;4266.9
1;30;388000.0;F;34;cocinero;2980.0
12;40;400000.0;M;16;cocinero;2304.1
12;48;1200000.0;F;71;cocinero;5760.4
12;48;1440000.0;F;26;cocinero;6912.4
12;48;1650000.0;F;53;cocinero;7920.5
12;40;500000.0;M;39;cocinero;2880.2
1;30;470000.0;M;23;cocinero;3609.8
12;40;950000.0;M;6;cocinero;5472.4
12;60;900000.0;F;57;cocinero;3456.2
12;15;440000.0;M;81;cocinero;6758.8
12;30;400000.0;M;30;cocinero;3072.2
12;48;1300000.0;F;11;cocinero;6240.4
12;50;1160000.0;F;45;cocinero;5345.6
12;60;1160000.0;F;38;cocinero;4454.7
12;70;300000.0;M;47;cocinero;987.5
12;48;1160000.0;F;40;cocinero;5568.4
12;48;2800000.0;F;35;cocinero;13440.9
12;60;300000.0;F;48;cocinero;1152.1
4;60;720000.0;F;14;cocinero;2765.0
12;28;700000.0;F;62;cocinero;5760.4
12;70;1960000.0;M;6;cocinero;6451.6
12;48;400000.0;F;33;cocinero;1920.1
12;21;250000.0;F;14;cocinero;2743.0
12;16;200000.0;F;19;cocinero;2880.2
12;48;900000.0;F;71;cocinero;4320.3
12;48;370000.0;F;9;cocinero;1776.1
12;48;800000.0;F;14;cocinero;3840.2
3;48;700000.0;M;8;cocinero;3360.2
7;48;600000.0;M;40;cocinero;2880.2
12;30;180000.0;M;76;cocinero;1382.5
12;40;280000.0;F;75;cocinero;1612.9
12;35;1000000.0;F;43;cocinero;6583.3
11;40;1000000.0;F;40;cocinero;5760.4
12;8;260000.0;M;21;cocinero;7488.5
12;56;1050000.0;F;40;cocinero;4320.3
12;54;1050000.0;M;26;cocinero;4480.3
5;60;2080000.0;M;23;cocinero;7987.7
10;48;1160000.0;M;28;cocinero;5568.4
3;44;288000.0;M;24;cocinero;1508.2
12;15;200000.0;F;12;cocinero;3072.2
12;66;1560000.0;F;72;cocinero;5446.2
12;50;1240000.0;M;5;cocinero;5714.3
12;48;840000.0;M;12;cocinero;4032.3
12;4;300000.0;F;50;cocinero;17281.1
12;38;540000.0;M;53;cocinero;3274.3
1;30;400000.0;F;53;cocinero;3072.2
11;48;1000000.0;M;20;cocinero;4800.3
12;40;340000.0;F;20;cocinero;1958.5
12;30;700000.0;F;17;cocinero;5376.3
12;60;1200000.0;F;22;cocinero;4608.3
10;48;1160000.0;F;46;cocinero;5568.4
1;30;460000.0;F;13;cocinero;3533.0
12;30;100000.0;F;42;cocinero;768.0
12;10;200000.0;F;49;cocinero;4608.3
2;30;600000.0;M;50;cocinero;4608.3
12;24;1200000.0;M;15;cocinero;11520.7
12;50;900000.0;F;32;cocinero;4147.5
10;32;450000.0;F;19;cocinero;3240.2
1;30;100000.0;F;48;cocinero;768.0
12;48;920000.0;M;40;cocinero;4416.3
12;56;600000.0;M;23;cocinero;2468.7
12;20;80000.0;M;29;cocinero;921.7
12;25;325000.0;M;24;cocinero;2995.4
12;20;350000.0;F;80;cocinero;4032.3
12;40;780000.0;M;49;cocinero;4493.1
8;50;1100000.0;F;79;cocinero;5069.1
12;48;1650000.0;M;64;cocinero;7920.5
12;48;300000.0;F;6;cocinero;1440.1
12;30;800000.0;M;17;cocinero;6144.4
12;40;640000.0;F;39;cocinero;3686.6
6;30;240000.0;F;14;cocinero;1843.3
12;48;640000.0;M;21;cocinero;3072.2
12;20;520000.0;M;30;cocinero;5990.8
12;48;1700000.0;F;32;cocinero;8160.5
12;48;900000.0;F;62;cocinero;4320.3
12;60;1000000.0;M;23;cocinero;3840.2
12;48;650000.0;F;81;cocinero;3120.2
12;6;660000.0;F;62;cocinero;25345.6
6;18;780000.0;F;6;cocinero;9984.6
12;30;444000.0;M;44;cocinero;3410.1
12;40;600000.0;F;17;cocinero;3456.2
12;48;300000.0;F;37;cocinero;1440.1
1;15;50000.0;M;57;cocinero;768.0
9;48;1160000.0;M;66;cocinero;5568.4
1;42;1370000.0;F;19;cocinero;7515.9
10;72;600000.0;F;58;cocinero;1920.1
12;60;1300000.0;F;55;cocinero;4992.3
12;60;1200000.0;F;33;cocinero;4608.3
9;18;562000.0;M;11;cocinero;7194.1
12;30;700000.0;F;66;cocinero;5376.3
11;72;920000.0;F;60;cocinero;2944.2
12;24;520000.0;M;5;cocinero;4992.3
6;24;700000.0;M;7;cocinero;6720.4
12;40;1960000.0;F;65;cocinero;11290.3
12;10;100000.0;M;43;cocinero;2304.1
8;24;560000.0;M;48;cocinero;5376.3
12;54;1392000.0;M;6;cocinero;5939.6
12;48;2000000.0;F;31;cocinero;9600.6
12;56;1160000.0;F;13;cocinero;4772.9
5;30;650000.0;F;31;cocinero;4992.3
12;40;800000.0;F;25;cocinero;4608.3
12;60;1460000.0;F;49;cocinero;5606.8
12;48;1200000.0;M;10;cocinero;5760.4
12;48;1160000.0;M;30;almacenista;5568.4
12;48;1100000.0;M;55;almacenista;5280.3
12;48;1300000.0;F;52;almacenista;6240.4
12;48;1160000.0;M;54;almacenista;5568.4
12;70;1200000.0;F;32;almacenista;3950.0
12;48;1200000.0;M;68;almacenista;5760.4
6;48;1160000.0;F;25;almacenista;5568.4
12;48;1200000.0;F;41;almacenista;5760.4
12;56;1700000.0;F;36;almacenista;6994.7
12;48;1300000.0;F;82;almacenista;6240.4
12;60;1200000.0;F;19;almacenista;4608.3
12;48;1800000.0;M;43;almacenista;8640.6
12;48;1500000.0;F;67;almacenista;7200.5
