MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;CODE_C.I.U.O.;OCCUPATION;VALUE_OF_THE_HOUR
12;60;300000.0;1;F;48;5120;cocinero;1152.1
4;60;720000.0;1;F;14;5120;cocinero;2765.0
12;28;700000.0;1;F;62;5120;cocinero;5760.4
12;70;1960000.0;1;M;6;5120;cocinero;6451.6
12;48;400000.0;1;F;33;5120;cocinero;1920.1
12;21;250000.0;1;F;14;5120;cocinero;2743.0
12;16;200000.0;1;F;19;5120;cocinero;2880.2
12;48;900000.0;1;F;71;5120;cocinero;4320.3
12;48;370000.0;1;F;9;5120;cocinero;1776.1
12;48;800000.0;1;F;14;5120;cocinero;3840.2
3;48;700000.0;1;M;8;5120;cocinero;3360.2
7;48;600000.0;1;M;40;5120;cocinero;2880.2
12;30;180000.0;1;M;76;5120;cocinero;1382.5
12;40;280000.0;1;F;75;5120;cocinero;1612.9
12;35;1000000.0;1;F;43;5120;cocinero;6583.3
11;40;1000000.0;1;F;40;5120;cocinero;5760.4
12;8;260000.0;1;M;21;5120;cocinero;7488.5
12;56;1050000.0;1;F;40;5120;cocinero;4320.3
12;54;1050000.0;1;M;26;5120;cocinero;4480.3
5;60;2080000.0;1;M;23;5120;cocinero;7987.7
10;48;1160000.0;1;M;28;5120;cocinero;5568.4
3;44;288000.0;1;M;24;5120;cocinero;1508.2
12;15;200000.0;1;F;12;5120;cocinero;3072.2
12;66;1560000.0;1;F;72;5120;cocinero;5446.2
12;50;1240000.0;1;M;5;5120;cocinero;5714.3
12;48;840000.0;1;M;12;5120;cocinero;4032.3
12;4;300000.0;1;F;50;5120;cocinero;17281.1
12;38;540000.0;1;M;53;5120;cocinero;3274.3
1;30;400000.0;1;F;53;5120;cocinero;3072.2
11;48;1000000.0;1;M;20;5120;cocinero;4800.3
12;40;340000.0;1;F;20;5120;cocinero;1958.5
12;30;700000.0;1;F;17;5120;cocinero;5376.3
12;60;1200000.0;1;F;22;5120;cocinero;4608.3
10;48;1160000.0;1;F;46;5120;cocinero;5568.4
1;30;460000.0;1;F;13;5120;cocinero;3533.0
12;30;100000.0;1;F;42;5120;cocinero;768.0
12;10;200000.0;1;F;49;5120;cocinero;4608.3
2;30;600000.0;1;M;50;5120;cocinero;4608.3
12;24;1200000.0;1;M;15;5120;cocinero;11520.7
12;50;900000.0;1;F;32;5120;cocinero;4147.5
10;32;450000.0;1;F;19;5120;cocinero;3240.2
1;30;100000.0;1;F;48;5120;cocinero;768.0
12;48;920000.0;1;M;40;5120;cocinero;4416.3
12;56;600000.0;1;M;23;5120;cocinero;2468.7
12;20;80000.0;1;M;29;5120;cocinero;921.7
12;25;325000.0;1;M;24;5120;cocinero;2995.4
12;20;350000.0;1;F;80;5120;cocinero;4032.3
12;40;780000.0;1;M;49;5120;cocinero;4493.1
